Date,Open,High,Low,Close,Volume,Adjusted Close
1997-10-15,484.79,487.22,483.29,486.11,26860000.0,486.11
1997-10-14,488.13,490.28,480.66,484.79,26430000.0,484.79
1997-10-13,489.27,492.89,487.58,488.13,25460000.0,488.13
1997-10-10,490.46,490.46,487.28,489.27,28470000.0,489.27
1997-10-09,493.44,493.44,487.89,490.46,29350000.0,490.46
1997-10-08,500.73,500.73,491.32,493.44,42220000.0,493.44
1997-10-07,497.67,500.76,495.71,500.73,43970000.0,500.73
1997-10-06,489.85,497.76,489.85,497.67,31840000.0,497.67
1997-10-03,488.69,493.41,485.07,489.85,32780000.0,489.85
1997-10-02,492.67,492.76,488.13,488.69,23640000.0,488.69
1997-10-01,486.97,493.04,486.97,492.67,33890000.0,492.67
1997-09-30,490.3,491.29,486.63,486.97,33210000.0,486.97
1997-09-29,485.67,490.84,484.72,490.3,27280000.0,490.3
1997-09-26,483.01,487.15,482.96,485.67,29270000.0,485.67
1997-09-25,482.2,487.93,482.2,483.01,31090000.0,483.01
1997-09-24,482.44,486.8,482.03,482.2,28200000.0,482.2
1997-09-23,484.23,484.86,481.08,482.44,28700000.0,482.44
1997-09-22,489.63,490.56,482.98,484.23,25270000.0,484.23
1997-09-19,489.95,489.95,486.54,489.63,27610000.0,489.63
1997-09-18,483.59,493.36,483.59,489.95,36830000.0,489.95
1997-09-17,485.07,487.75,482.75,483.59,31170000.0,483.59
1997-09-16,472.81,485.93,472.81,485.07,36520000.0,485.07
1997-09-15,474.23,478.19,472.7,472.81,24320000.0,472.81
1997-09-12,468.91,474.46,465.5,474.23,31810000.0,474.23
1997-09-11,473.25,473.25,465.62,468.91,32150000.0,468.91
1997-09-10,477.44,477.75,472.58,473.25,28960000.0,473.25
1997-09-09,473.94,479.37,471.8,477.44,22880000.0,477.44
1997-09-08,470.41,475.53,470.36,473.94,20970000.0,473.94
1997-09-05,473.1,477.18,468.83,470.41,22450000.0,470.41
1997-09-04,472.44,474.72,470.36,473.1,24160000.0,473.1
1997-09-03,473.3,475.33,470.07,472.44,28310000.0,472.44
1997-09-02,457.5,473.39,457.5,473.3,25060000.0,473.3
1997-08-29,461.11,461.11,456.0,457.5,17290000.0,457.5
1997-08-28,466.66,466.66,458.91,461.11,21470000.0,461.11
1997-08-27,459.66,468.36,458.91,466.66,27000000.0,466.66
1997-08-26,460.53,461.69,457.01,459.66,27490000.0,459.66
1997-08-25,463.68,467.06,459.93,460.53,19540000.0,460.53
