Date,Adjusted Close,High (est),Low (est)
2012-06-29,32.9612013699,0,0
2012-06-28,32.9805513689,0,0
2012-06-27,33.1538604355,0.030499,0.029829
2012-06-26,33.0912159367,0,0
2012-06-25,33.0912159367,0,0
2012-06-22,32.7243334871,0,0
2012-06-21,32.4284709003,0,0
2012-06-20,32.4284709003,0.03119,0.030488
2012-06-19,32.4415160569,0,0
2012-06-18,32.4415160569,0.031169,0.030484
2012-06-15,32.6117441413,0.031029,0.030303
2012-06-14,32.7572426263,0.030891,0.030168
2012-06-13,32.7243334871,0,0
2012-06-12,32.5066882511,0.031115,0.030415
2012-06-11,32.458574744,0.031175,0.030446
2012-06-08,32.4246855616,0,0
2012-06-07,32.8741904731,0.030781,0.030061
2012-06-06,33.3994642726,0,0
2012-06-05,33.6273484499,0.03007,0.029409
2012-06-04,33.3904309703,0.03029,0.029611
2012-06-01,32.8667352486,0.030766,0.03009
2012-05-31,32.3118481085,0.031303,0.030598
2012-05-30,31.9373516909,0,0
2012-05-29,31.9373516909,0,0
2012-05-28,31.9373516909,0.03167,0.030957
2012-05-25,31.6380605869,0.031989,0.03123
2012-05-24,31.3397099196,0.032289,0.031532
2012-05-23,31.19005661,0,0
2012-05-22,31.179845348,0,0
2012-05-21,31.179845348,0.032457,0.031691
2012-05-18,30.9821016399,0,0
2012-05-17,30.7233820299,0.032921,0.032181
2012-05-16,30.4180658977,0.033243,0.032511
2012-05-15,30.2671682945,0,0
2012-05-14,30.2477593972,0,0
2012-05-11,30.2477593972,0,0
2012-05-10,30.1957894991,0,0
2012-05-09,29.9973302376,0.033731,0.032946
2012-05-08,29.8413039456,0.033898,0.033127
2012-05-07,29.5760859599,0.034199,0.033427
2012-05-04,29.3795336293,0,0
2012-05-03,29.3795336293,0.034423,0.033656
2012-05-02,29.3591772384,0,0
2012-05-01,29.3591772384,0,0
2012-04-30,29.3591772384,0,0
2012-04-27,29.3591772384,0,0
2012-04-26,29.4440665789,0,0
2012-04-25,29.4440665789,0.034348,0.033582
2012-04-24,29.4655827261,0.034313,0.033567
2012-04-23,29.4440665789,0.034348,0.033582
2012-04-20,29.5315411625,0,0
2012-04-19,29.5315411625,0.034237,0.033492
2012-04-18,29.6202389168,0,0
2012-04-17,29.6084869767,0,0
2012-04-16,29.6084869767,0.034162,0.033391
